id,title,author,avg_rating,ratings,url,img,pages,year
155,The Affluent Society,John Kenneth Galbraith,3.98,"1,785",/book/show/41589.The_Affluent_Society,https://d2arxad8u2l0g7.cloudfront.net/books/1348310809l/41589.jpg,276,1958
156,Centesimus Annus: On the Hundredth Anniversary of Rerum Novarum,Pope John Paul II,4.08,79,/book/show/368387.Centesimus_Annus,https://d2arxad8u2l0g7.cloudfront.net/books/1386920922l/368387.jpg,92,1991
157,Patriotic Gore,Edmund Wilson,really liked it 4.00,,/book/show/27163083-patriotic-gore,,,1962
158,Jefferson And His Time,Dumas Malone,it was amazing 5.00,2,/book/show/961488.Jefferson_And_His_Time,https://d2arxad8u2l0g7.cloudfront.net/books/1179838111l/961488.jpg,3300,1948
159,Pursuit of the Millennium: Revolutionary Millenarians and Mystical Anarchists of the Middle Ages,Norman Cohn,4.27,498,/book/show/191131.Pursuit_of_the_Millennium,https://d2arxad8u2l0g7.cloudfront.net/books/1333509401l/191131.jpg,416,1957
160,Up in the Old Hotel,Joseph Mitchell,4.35,"2,502",/book/show/210783.Up_in_the_Old_Hotel,https://d2arxad8u2l0g7.cloudfront.net/books/1437793030l/210783.jpg,716,1992
161,Battle Cry of Freedom:,James M. McPherson,4.32,"18,429",/book/show/35100.Battle_Cry_of_Freedom,https://d2arxad8u2l0g7.cloudfront.net/books/1388185755l/35100.jpg,867,1988
162,The Great Terror: A Reassessment,Robert Conquest,4.11,594,/book/show/52137.The_Great_Terror,https://d2arxad8u2l0g7.cloudfront.net/books/1386924223l/52137.jpg,584,1968
163,The Face of Battle,John Keegan,4.19,"4,914",/book/show/275833.The_Face_of_Battle,https://d2arxad8u2l0g7.cloudfront.net/books/1320502539l/275833.jpg,352,1976
164,The Wars,Timothy Findley,3.86,"5,708",/book/show/29898.The_Wars,https://d2arxad8u2l0g7.cloudfront.net/books/1406896035l/29898.jpg,218,1832
165,Chronicles of Wasted Time: An Autobiography,Malcolm Muggeridge,4.21,90,/book/show/31079.Chronicles_of_Wasted_Time,https://d2arxad8u2l0g7.cloudfront.net/books/1348052997l/31079.jpg,568,1972
166,"Facundo: Or, Civilization and Barbarism",Domingo Faustino Sarmiento,3.41,"1,122",/book/show/269735.Facundo,https://d2arxad8u2l0g7.cloudfront.net/books/1348584946l/269735.jpg,288,1845
167,Maxims of Napoleon,Napoléon Bonaparte,really liked it 4.00,11,/book/show/14955963-maxims-of-napoleon,,92,1680
168,Les Caractères,Jean de La Bruyère,3.59,550,/book/show/1768274.Les_Caract_res,https://d2arxad8u2l0g7.cloudfront.net/books/1356081313l/1768274.jpg,508,1688
169,"Expedition Terra Nova: Terra Nova, L'Epopee Du Capitaine Scott, the Worst Journey in the World",Livres Groupe,0.00,0,/book/show/9767584-expedition-terra-nova,https://d2arxad8u2l0g7.cloudfront.net/books/1355029052l/9767584.jpg,44,1922
170,"Lettres de Madame de Sevigne, de Sa Famille Et de Ses Amis, Vol. 1",Marie De Rabutin-Chantal Sevigne,0.00,0,/book/show/31230063-lettres-de-madame-de-sevigne-de-sa-famille-et-de-ses-amis-vol-1,,548,1696
171,On Writing: A Memoir of the Craft,Stephen King,4.29,"131,528",/book/show/10569.On_Writing,https://d2arxad8u2l0g7.cloudfront.net/books/1436735207l/10569.jpg,320,2000
172,The Provincial Letters,Blaise Pascal,4.11,95,/book/show/268117.The_Provincial_Letters,https://d2arxad8u2l0g7.cloudfront.net/books/1348998369l/268117.jpg,232,1656
173,On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee,4.48,"10,368",/book/show/101255.On_Food_and_Cooking,https://d2arxad8u2l0g7.cloudfront.net/books/1347221060l/101255.jpg,896,1984
174,Correspondence: An Adventure in Letters,N. John Hall,3.52,58,/book/show/8254230-correspondence,https://d2arxad8u2l0g7.cloudfront.net/books/1348114224l/8254230.jpg,238,1778
