id,title,author,avg_rating,ratings,url,img,pages,year
1075,Freedom,Jay Kirkpatrick,3.78,288,/book/show/17370712-freedom,https://d2arxad8u2l0g7.cloudfront.net/books/1360723414l/17370712.jpg,232,1991
1076,"Wandering Through Winter: A Naturalist's Record of a 20,000-Mile Journey Through the North American Winter",Edwin Way Teale,4.30,88,/book/show/327621.Wandering_Through_Winter,https://d2arxad8u2l0g7.cloudfront.net/books/1465247813l/327621.jpg,370,1965
1077,Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,Harriet A. Washington,4.20,"2,002",/book/show/114192.Medical_Apartheid,https://d2arxad8u2l0g7.cloudfront.net/books/1387667004l/114192.jpg,501,2007
1078,Gandhi's Truth: On the Origins of Militant Nonviolence,Erik H. Erikson,3.92,161,/book/show/920154.Gandhi_s_Truth,https://d2arxad8u2l0g7.cloudfront.net/books/1361745655l/920154.jpg,480,1969
1079,Crusader in Crinoline: The Life of Harriet Beecher Stowe,Robert Forrest Wilson,0.00,0,/book/show/2361550.Crusader_in_Crinoline,,706,1942
1080,Harriet Beecher Stowe,Joan D. Hedrick,4.03,69,/book/show/123978.Harriet_Beecher_Stowe,https://d2arxad8u2l0g7.cloudfront.net/books/1369152237l/123978.jpg,544,1994
1081,Grover Cleveland: A Study in Courage,Allan Nevins,3.67,15,/book/show/6494255-grover-cleveland,,832,1934
1082,"Coleridge: Early Visions, 1772-1804",Richard Holmes,4.44,228,/book/show/1044010.Coleridge,https://d2arxad8u2l0g7.cloudfront.net/books/1348343045l/1044010.jpg,448,1989
1083,A Problem from Hell,Samantha Power,4.22,"6,739",/book/show/368731.A_Problem_from_Hell,https://d2arxad8u2l0g7.cloudfront.net/books/1388247387l/368731.jpg,620,2002
1084,The Most Famous Man in America: The Biography of Henry Ward Beecher,Debby Applegate,3.91,643,/book/show/108457.The_Most_Famous_Man_in_America,https://d2arxad8u2l0g7.cloudfront.net/books/1320442378l/108457.jpg,527,2007
1085,Ownership Road: Leading Our Children To An Authentic Faith That Prepares Them For Life After High School,Tommy McGregor,0.00,0,/book/show/30046137-ownership-road,https://d2arxad8u2l0g7.cloudfront.net/books/1461801415l/30046137.jpg,,1989
